FS_Method,K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
ChiSquare,4,MLP,0.2554 ± 0.0152,0.2152 ± 0.0020,0.3387 ± 0.0000,0.2216 ± 0.0039,0.3434 ± 0.0003,0.0765 ± 0.0004,0.6613 ± 0.0000,16.6899 ± 2.3564,0.0007 ± 0.0006
ChiSquare,8,DT,0.2966 ± 0.0000,0.3043 ± 0.0000,0.4000 ± 0.0000,0.3090 ± 0.0000,0.3998 ± 0.0002,0.0730 ± 0.0000,0.6000 ± 0.0000,0.0389 ± 0.0023,0.0000 ± 0.0000
ChiSquare,8,RF,0.5369 ± 0.3442,0.3368 ± 0.0465,0.4000 ± 0.0000,0.3412 ± 0.0479,0.3998 ± 0.0002,0.0539 ± 0.0265,0.6000 ± 0.0000,1.0558 ± 0.0096,0.0027 ± 0.0000
ChiSquare,8,XGB,0.2890 ± 0.0171,0.2880 ± 0.0364,0.3969 ± 0.0068,0.2935 ± 0.0347,0.3997 ± 0.0004,0.0738 ± 0.0017,0.6031 ± 0.0068,1.4487 ± 0.0098,0.0005 ± 0.0000
ChiSquare,8,LGBM,0.2966 ± 0.0000,0.3043 ± 0.0000,0.4000 ± 0.0000,0.3090 ± 0.0000,0.3996 ± 0.0006,0.0730 ± 0.0000,0.6000 ± 0.0000,0.6123 ± 0.0150,0.0006 ± 0.0000
ChiSquare,8,KNN,0.2966 ± 0.0000,0.3043 ± 0.0000,0.4000 ± 0.0000,0.3090 ± 0.0000,0.3746 ± 0.0000,0.0730 ± 0.0000,0.6000 ± 0.0000,0.1347 ± 0.0056,1.3397 ± 0.1723
ChiSquare,8,MLP,0.5359 ± 0.3451,0.3367 ± 0.0467,0.4000 ± 0.0000,0.3409 ± 0.0481,0.3998 ± 0.0001,0.0539 ± 0.0265,0.6000 ± 0.0000,16.6373 ± 2.7163,0.0010 ± 0.0005
ChiSquare,16,DT,0.9528 ± 0.0025,0.6968 ± 0.0025,0.6416 ± 0.0002,0.6383 ± 0.0020,0.6320 ± 0.0005,0.0077 ± 0.0003,0.3584 ± 0.0002,0.1012 ± 0.0028,0.0001 ± 0.0000
ChiSquare,16,RF,0.9551 ± 0.0019,0.7079 ± 0.0034,0.6419 ± 0.0002,0.6401 ± 0.0016,0.6374 ± 0.0004,0.0074 ± 0.0002,0.3581 ± 0.0002,1.3052 ± 0.0091,0.0028 ± 0.0000
ChiSquare,16,XGB,0.9469 ± 0.0102,0.6577 ± 0.0345,0.6385 ± 0.0038,0.6136 ± 0.0284,0.6377 ± 0.0001,0.0083 ± 0.0010,0.3615 ± 0.0038,1.8394 ± 0.0430,0.0011 ± 0.0001
