FE_Method,K,actual_K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
StatFeatures,4,4,DT,0.9923 ± 0.0003,0.8612 ± 0.0108,0.8186 ± 0.0002,0.8167 ± 0.0014,0.7979 ± 0.0024,0.0008 ± 0.0000,0.1814 ± 0.0002,0.2503 ± 0.0548,0.0001 ± 0.0000
StatFeatures,4,4,RF,0.9901 ± 0.0005,0.7815 ± 0.0162,0.8148 ± 0.0004,0.7802 ± 0.0047,0.8178 ± 0.0020,0.0010 ± 0.0000,0.1852 ± 0.0004,1.8790 ± 0.0790,0.0031 ± 0.0002
StatFeatures,4,4,XGB,0.9920 ± 0.0005,0.8392 ± 0.0113,0.8177 ± 0.0005,0.8119 ± 0.0013,0.8174 ± 0.0020,0.0008 ± 0.0000,0.1823 ± 0.0005,1.8291 ± 0.1105,0.0012 ± 0.0001
StatFeatures,4,4,LGBM,0.9924 ± 0.0003,0.8627 ± 0.0010,0.8185 ± 0.0003,0.8160 ± 0.0006,0.8191 ± 0.0010,0.0008 ± 0.0000,0.1815 ± 0.0003,1.0964 ± 0.0427,0.0030 ± 0.0000
StatFeatures,4,4,KNN,0.9613 ± 0.0000,0.7868 ± 0.0038,0.6963 ± 0.0001,0.6798 ± 0.0001,0.6281 ± 0.0004,0.0041 ± 0.0001,0.3037 ± 0.0001,0.1126 ± 0.0085,0.0223 ± 0.0033
StatFeatures,4,4,MLP,0.9908 ± 0.0011,0.7980 ± 0.0348,0.8273 ± 0.0354,0.8027 ± 0.0336,0.8455 ± 0.0238,0.0011 ± 0.0001,0.1727 ± 0.0354,84.7084 ± 30.9399,0.0029 ± 0.0009
StatFeatures,8,8,DT,0.9940 ± 0.0003,0.8900 ± 0.0035,0.8946 ± 0.0047,0.8890 ± 0.0035,0.8918 ± 0.0058,0.0006 ± 0.0000,0.1054 ± 0.0047,0.3080 ± 0.0425,0.0001 ± 0.0000
StatFeatures,8,8,RF,0.9940 ± 0.0003,0.8814 ± 0.0015,0.8974 ± 0.0004,0.8861 ± 0.0008,0.8989 ± 0.0001,0.0006 ± 0.0000,0.1026 ± 0.0004,1.6172 ± 0.0371,0.0030 ± 0.0001
StatFeatures,8,8,XGB,0.9941 ± 0.0003,0.8872 ± 0.0020,0.8978 ± 0.0004,0.8895 ± 0.0009,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1022 ± 0.0004,1.7666 ± 0.0165,0.0010 ± 0.0000
StatFeatures,8,8,LGBM,0.9941 ± 0.0003,0.8902 ± 0.0059,0.8977 ± 0.0006,0.8900 ± 0.0015,0.8991 ± 0.0001,0.0006 ± 0.0000,0.1023 ± 0.0006,1.2031 ± 0.1187,0.0028 ± 0.0000
StatFeatures,8,8,KNN,0.9613 ± 0.0000,0.7871 ± 0.0040,0.6964 ± 0.0001,0.6799 ± 0.0001,0.6282 ± 0.0004,0.0041 ± 0.0001,0.3036 ± 0.0001,0.2170 ± 0.0193,0.0237 ± 0.0011
StatFeatures,8,8,MLP,0.9925 ± 0.0003,0.8511 ± 0.0085,0.8924 ± 0.0004,0.8668 ± 0.0055,0.8894 ± 0.0028,0.0009 ± 0.0000,0.1076 ± 0.0004,119.8005 ± 67.8139,0.0038 ± 0.0006
StatFeatures,16,10,DT,0.9939 ± 0.0004,0.8852 ± 0.0074,0.8877 ± 0.0136,0.8825 ± 0.0122,0.8811 ± 0.0212,0.0006 ± 0.0000,0.1123 ± 0.0136,0.4255 ± 0.0141,0.0001 ± 0.0000
StatFeatures,16,10,RF,0.9940 ± 0.0003,0.8804 ± 0.0018,0.8974 ± 0.0003,0.8857 ± 0.0007,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1026 ± 0.0003,2.8071 ± 0.1194,0.0045 ± 0.0003
StatFeatures,16,10,XGB,0.9941 ± 0.0003,0.8884 ± 0.0003,0.8978 ± 0.0004,0.8900 ± 0.0003,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1022 ± 0.0004,3.6246 ± 0.1712,0.0016 ± 0.0002
StatFeatures,16,10,LGBM,0.9941 ± 0.0003,0.8875 ± 0.0011,0.8977 ± 0.0003,0.8897 ± 0.0005,0.8991 ± 0.0001,0.0006 ± 0.0000,0.1023 ± 0.0003,2.3417 ± 0.1727,0.0043 ± 0.0004
StatFeatures,16,10,KNN,0.9613 ± 0.0000,0.7869 ± 0.0039,0.6964 ± 0.0001,0.6799 ± 0.0002,0.6280 ± 0.0002,0.0041 ± 0.0001,0.3036 ± 0.0001,0.0137 ± 0.0016,0.0908 ± 0.0012
StatFeatures,16,10,MLP,0.9928 ± 0.0003,0.8606 ± 0.0029,0.8935 ± 0.0005,0.8723 ± 0.0012,0.8932 ± 0.0037,0.0008 ± 0.0000,0.1065 ± 0.0005,164.8810 ± 46.9429,0.0022 ± 0.0003
